DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado ",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										 ",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Cogua,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Terapia Ocupacional,Terapia Ocupacional,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de bajo peso al nacer sin control (2500 Gr),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Explicar signos de alarma maternos y neonatales,Comprensión verificada,100%,39%,61%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Cota,E.S.E. HOSPITAL SAN ANTONIO CHIA,Terapia Respiratoria,Terapia Respiratoria,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de prematuridad (menor de 37 semanas) sin control en programa madre canguro,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Explicar signos de alarma maternos y neonatales,Consulta oportuna ante signos de alarma,100%,38%,62%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Gachancipá,ESE HOSPITAL SAN ANTONIO,Tomografía Computarizada (TAC),Tomografía Computarizada (TAC),,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con diagnóstico de malformaciones congénitas mayores sin seguimiento,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Entregar orientación escrita o verbal,Gestantes educadas en signos de alarma,100%,37%,63%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Nemocón,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON,Unidad Coronaria,Unidad Coronaria,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Neonato sin seguimiento al resultado de TSH neonatal (hipotiroidismo),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Entregar orientación escrita o verbal,Comprensión verificada,100%,36%,64%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,San Cayetano,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Unidad de Cuidados Intensivos (UCI) Adultos,Unidad de Cuidados Intensivos (UCI) Adultos,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin esquema de vacunación adecuado para la edad gestacional,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Entregar orientación escrita o verbal,Consulta oportuna ante signos de alarma,100%,35%,65%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Sesquilé,ESE HOSPITAL SAN ANTONIO,Unidad de Cuidados Intensivos Neonatal,Unidad de Cuidados Intensivos Neonatal,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con antecedente de signos o síntomas de alarma para seguimiento por la EAPB.,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Verificar comprensión familiar,Gestantes educadas en signos de alarma,100%,34%,66%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Tabio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE TABIO,Unidad de Cuidados Intensivos Pediátrica,Unidad de Cuidados Intensivos Pediátrica,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante no valorada por nutricionista o con alteración nutricional,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Verificar comprensión familiar,Comprensión verificada,100%,33%,67%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Tenjo,E.S.E. HOSPITAL SANTA ROSA DE TENJO,Unidad de Cuidados Intermedios,Unidad de Cuidados Intermedios,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o en post parto que identifica una situación emocional que en ese momento afecta su vida,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Verificar comprensión familiar,Consulta oportuna ante signos de alarma,100%,32%,68%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro,Sabana Centro,Zipaquirá,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Unidad de Quemados,Unidad de Quemados,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Mujer con intención reproductiva sin consulta preconcepcional,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Definir punto de atención,Gestantes educadas en signos de alarma,100%,31%,69%,Malo,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Sabana Centro Occidente,Sabana Centro Occidente,Albán,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,Unidad de Trasplantes,Unidad de Trasplantes,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin tamizar para cáncer de cuello uterino (hasta semana 22),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Definir punto de atención,Comprensión verificada,100%,30%,70%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con alto riesgo de evento trombótico sin medidas profilácticas,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Educación en signos de alarma,Educación en signos de alarma,Definir punto de atención,Consulta oportuna ante signos de alarma,100%,29%,71%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona sin control posevento obstétrico,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de salud mental,Aplicar tamizaje psicosocial,Tamizaje de salud mental realizado,100%,28%,72%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje auditivo o sin programación de tamizaje por EAPB (hasta 28 días),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de violencias,Aplicar tamizaje psicosocial,Tamizaje de violencias realizado,100%,27%,73%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje visual (hasta 28 días),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Casos con ruta activada,100%,26%,74%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje para cardiopatía congénita (pulsioximetría) hasta 28 días,"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de salud mental realizado,100%,25%,75%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con desplome nutricional o ganancia inadecuada de peso (hasta 28 días),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de violencias realizado,100%,24%,76%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con sintomatología respiratoria (hasta 28 días),"3, Canalización hacia la oferta Departamental intersectorial",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Casos con ruta activada,100%,23%,77%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Gestante sin control prenatal o no adherente a controles.,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de salud mental realizado,100%,22%,78%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o post evento obstétrico con diagnóstico de VIH sin inclusión en el programa,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de violencias realizado,100%,21%,79%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con diagnóstico de sífilis sin tratamiento y/o sin seguimiento serológico,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Casos con ruta activada,100%,20%,80%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Gestante en quien se confirmó o se sospechó ETV,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de salud mental realizado,100%,19%,81%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin consulta odontológica,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de violencias realizado,100%,18%,82%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con morbilidades crónicas,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Casos con ruta activada,100%,17%,83%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o con sospecha de embarazo y deseo de Interrupción Voluntaria del Embarazo,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de salud mental,Aplicar tamizaje psicosocial,Tamizaje de salud mental realizado,100%,16%,84%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona en puerperio o post aborto sin método anticonceptivo,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de salud mental,Aplicar tamizaje psicosocial,Tamizaje de violencias realizado,100%,15%,85%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Neonato sin consulta de control del recién nacido,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de salud mental,Aplicar tamizaje psicosocial,Casos con ruta activada,100%,14%,86%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de bajo peso al nacer sin control (2500 Gr),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de salud mental,Indagar violencia basada en género,Tamizaje de salud mental realizado,100%,13%,87%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de prematuridad (menor de 37 semanas) sin control en programa madre canguro,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de violencias,Indagar violencia basada en género,Tamizaje de violencias realizado,100%,12%,88%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con diagnóstico de malformaciones congénitas mayores sin seguimiento,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de violencias,Indagar violencia basada en género,Casos con ruta activada,100%,11%,89%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Neonato sin seguimiento al resultado de TSH neonatal (hipotiroidismo),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de violencias,Registrar hallazgos con confidencialidad,Tamizaje de salud mental realizado,100%,10%,90%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin esquema de vacunación adecuado para la edad gestacional,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Tamizaje de violencias,Registrar hallazgos con confidencialidad,Tamizaje de violencias realizado,100%,9%,91%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con antecedente de signos o síntomas de alarma para seguimiento por la EAPB.,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Casos con ruta activada,100%,8%,92%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante no valorada por nutricionista o con alteración nutricional,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de salud mental realizado,100%,7%,93%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o en post parto que identifica una situación emocional que en ese momento afecta su vida,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de violencias realizado,100%,6%,94%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Mujer con intención reproductiva sin consulta preconcepcional,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Casos con ruta activada,100%,5%,95%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin tamizar para cáncer de cuello uterino (hasta semana 22),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Tamizaje de salud mental realizado,100%,4%,96%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con alto riesgo de evento trombótico sin medidas profilácticas,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Tamizaje de violencias realizado,100%,3%,97%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona sin control posevento obstétrico,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Casos con ruta activada,100%,2%,98%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje auditivo o sin programación de tamizaje por EAPB (hasta 28 días),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de salud mental realizado,100%,1%,99%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje visual (hasta 28 días),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de violencias realizado,100%,0%,100%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje para cardiopatía congénita (pulsioximetría) hasta 28 días,"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Casos con ruta activada,100%,-1%,101%,Malo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con desplome nutricional o ganancia inadecuada de peso (hasta 28 días),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con sintomatología respiratoria (hasta 28 días),"4, Canalización de casos sin aseguramiento / oficina SISS",,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Nomal,Sin Canalización,,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matriz de análisis de la Ruta Materno Perinatal,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Aplicar tamizaje psicosocial,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Indagar violencia basada en género,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Registrar hallazgos con confidencialidad,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de salud mental realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Tamizaje de violencias realizado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salud mental y tamizaje de violencias,Activación de ruta de protección,Remitir a apoyo psicosocial/protección,Casos con ruta activada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Verificar esquema de vacunación,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Verificar esquema de vacunación,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Verificar esquema de vacunación,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Aplicar vacunas indicadas,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Aplicar vacunas indicadas,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Aplicar vacunas indicadas,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Entregar micronutrientes según lineamiento,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Entregar micronutrientes según lineamiento,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Entregar micronutrientes según lineamiento,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Registrar adherencia y eventos,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Registrar adherencia y eventos,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Vacunación materna,Registrar adherencia y eventos,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Solicitar exámenes según trimestre,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Solicitar exámenes según trimestre,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Solicitar exámenes según trimestre,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Gestionar ecografías indicadas,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Gestionar ecografías indicadas,Ecografías realizadas,,,,,,,,,,,,,,,,
