DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
DSS y Ruta Materna Perinatal,,Centro,Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,Consulta Externa,Consulta Externa,,,"Identificación de Determinantes Sociales de la Salud										",11,Determinantes estructurales,Aseguramiento,,,Otra fuente oficial,,,"Violencia, inseguridad ciudadana y conflicto social",,,Síntesis del análisis DSS,,,"Violencia, inseguridad ciudadana y conflicto social",Falta de redes de apoyo familiar o comunitario para el cuidado del hogar durante las citas y el parto,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de prematuridad (menor de 37 semanas) sin control en programa madre canguro,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,11,Planificación familiar y anticoncepción,Consejería anticonceptiva,Registrar consentimiento y seguimiento,Demanda insatisfecha de anticoncepción,100%,90%,10%,Muy bueno,Otra fuente oficial,,,Barreras Geográficas y de Acceso Físico,Mal estado de las vías de acceso,Determinantes Intermedios,"Condiciones de trabajo, empleo informal, sobrecarga laboral u ocupación riesgosa",,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,Dermatología,Dermatología,,,"Identificación de Determinantes Sociales de la Salud										",12,Determinantes estructurales,Otros,,,,,,"Barreras lingüísticas, culturales y de alfabetización en salud",,,Síntesis del análisis DSS,,,"Barreras lingüísticas, culturales y de alfabetización en salud",Falta de continuidad y fragmentación en la prestación de servicios entre niveles de atención de la ruta,,,Síntesis del análisis Ruta Materna,Menor de un año con diagnóstico de malformaciones congénitas mayores sin seguimiento,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,12,Planificación familiar y anticoncepción,Consejería anticonceptiva,Registrar consentimiento y seguimiento,Seguimiento post entrega del método,100%,89%,11%,Bueno,,,,Barreras Geográficas y de Acceso Físico,Dificultades de acceso por condiciones climáticas o fluviales,Determinantes Intermedios,Deficiencia en saneamiento básico y manejo de excretas o basuras,,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,Ecocardiografía,Ecocardiografía,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Circunstancias materiales,,,,,,Falta de políticas públicas e inversión en protección social,,,,,,Falta de políticas públicas e inversión en protección social,,,,Síntesis del análisis Ruta Materna,Neonato sin seguimiento al resultado de TSH neonatal (hipotiroidismo),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,13,Planificación familiar y anticoncepción,Entrega o aplicación de método,Valorar intención reproductiva,Cobertura de anticoncepción,100%,88%,12%,Bueno,,,,Barreras Geográficas y de Acceso Físico,Ausencia de centros de salud con capacidad resolutiva en zonas rurales,Determinantes Intermedios,Inseguridad alimentaria y nutricional en el hogar,,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Macheta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,Ecografía,Ecografía,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Condiciones de vivienda,,,,,,Débil infraestructura social y falta de redes de apoyo comunitario,,,,,,Débil infraestructura social y falta de redes de apoyo comunitario,,,,Síntesis del análisis Ruta Materna,Persona gestante sin esquema de vacunación adecuado para la edad gestacional,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,14,Planificación familiar y anticoncepción,Entrega o aplicación de método,Valorar intención reproductiva,Demanda insatisfecha de anticoncepción,100%,87%,13%,Bueno,,,,Barreras Geográficas y de Acceso Físico,Falta de casas maternas o albergues en zonas dispersas,Determinantes Intermedios,"Cobertura, accesibilidad, infraestructura y capacidad de la red de servicios de salud",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Manta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,Electrocardiografía,Electrocardiografía,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Disponibilidad de alimentos,,,,,,Otros,,,,,,Otros,,,,Síntesis del análisis Ruta Materna,Persona gestante con antecedente de signos o síntomas de alarma para seguimiento por la EAPB.,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,15,Planificación familiar y anticoncepción,Entrega o aplicación de método,Valorar intención reproductiva,Seguimiento post entrega del método,100%,86%,14%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas",Barreras de lenguaje y falta de intérpretes,Determinantes Intermedios,"Barreras de transporte, vías de comunicación y conectividad",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Suesca,E.S.E. HOSPITAL NUESTRA SEÑORA DEL ROSARIO SUESCA,Endocrinología,Endocrinología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Transporte,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante no valorada por nutricionista o con alteración nutricional,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,16,Planificación familiar y anticoncepción,Entrega o aplicación de método,Informar opciones y signos de alarma,Cobertura de anticoncepción,100%,85%,15%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas",Conflicto entre medicina occidental y prácticas ancestrales o tradicionales,Determinantes Intermedios,"Existencia, fortaleza y acceso a redes de apoyo social, comunitario o familiar",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Tibirita,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,Endoscopia Digestiva,Endoscopia Digestiva,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Factores biológicos,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o en post parto que identifica una situación emocional que en ese momento afecta su vida,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,17,Planificación familiar y anticoncepción,Entrega o aplicación de método,Informar opciones y signos de alarma,Demanda insatisfecha de anticoncepción,100%,84%,16%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas","Creencias, mitos y tabúes sobre la gestación y el parto",Determinantes Intermedios,"Exposición a factores ambientales, contaminación y vectores de enfermedad",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Almeidas,Centro Oriente Almeidas,Villapinzón,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,Farmacia Hospitalaria,Farmacia Hospitalaria,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Factores conductuales,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Mujer con intención reproductiva sin consulta preconcepcional,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,18,Planificación familiar y anticoncepción,Entrega o aplicación de método,Informar opciones y signos de alarma,Seguimiento post entrega del método,100%,83%,17%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas",Falta de autonomía de la gestante por dinámicas de género o familiares,Determinantes Proximales (Individuales),Edad de la gestante (gestación en adolescencia o edad materna avanzada),,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Gachala,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,Fonoaudiología,Fonoaudiología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Factores psicosociales,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin tamizar para cáncer de cuello uterino (hasta semana 22),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,19,Planificación familiar y anticoncepción,Entrega o aplicación de método,Garantizar acceso efectivo al método,Cobertura de anticoncepción,100%,82%,18%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas",Temor por experiencias previas de violencia obstétrica o discriminación,Determinantes Proximales (Individuales),"Paridad, período intergenésico corto o antecedentes de complicaciones maternas",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Gachetá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,Gastroenterología,Gastroenterología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Redes de apoyo,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con alto riesgo de evento trombótico sin medidas profilácticas,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,20,Planificación familiar y anticoncepción,Entrega o aplicación de método,Garantizar acceso efectivo al método,Demanda insatisfecha de anticoncepción,100%,81%,19%,Bueno,,,,"Barreras Culturales, Sociales y Lingüísticas",Estigmatización a gestantes adolescentes o vulnerables,Determinantes Proximales (Individuales),"Estado nutricional previo y durante la gestación (anemia, desnutrición, obesidad)",,,,,
